Image,ham_IoU,ham_Dice,ham_Precision,ham_Recall,ham_F1,binary_IoU,binary_Dice,binary_Precision,binary_Recall,binary_F1,temiz_IoU,temiz_Dice,temiz_Precision,temiz_Recall,temiz_F1
0,0.9055143871930531,0.9504146421344368,0.9565940262258209,0.9443145805240014,0.9504146421344369,0.9198463360388204,0.9582499586260851,0.952161693476051,0.96441658338633,0.9582499586260852,0.9135493629646867,0.9548218411771859,0.9585813264963526,0.9510917295054662,0.9548218411771859
1,0.6825855440895744,0.811353154063751,0.8728498250510975,0.7579516395489991,0.811353154063751,0.6914693448671896,0.8175960704998555,0.8639777723497801,0.7759405506197214,0.8175960704998556,0.6863612506560696,0.8140144946867636,0.8857281083696178,0.7530437643961829,0.8140144946867636
3,0.6484586771305973,0.7867454442465517,0.8231180570450676,0.7534513220197403,0.7867454442465516,0.6542991457311833,0.7910288141290066,0.8105704803055921,0.772407208497434,0.7910288141290066,0.6655571405928039,0.799200609059764,0.8531084924827306,0.7517006802721088,0.7992006090597641
4,0.8843923686640424,0.9386499153475564,0.9395415120540896,0.9377600092337505,0.9386499153475564,0.894745386655122,0.9444492045811556,0.9312830911343922,0.9579929312242887,0.9444492045811556,0.8913770419910098,0.9425693790305051,0.9429930118595413,0.9421461266585549,0.9425693790305051
5,0.6024319917936495,0.7518971099913321,0.8564398145415383,0.6701002449492185,0.7518971099913321,0.6146031119769191,0.7613054965865876,0.8455979643765903,0.692294872507083,0.7613054965865876,0.612155005601385,0.7594245013345126,0.8801478932532855,0.6678240097772346,0.7594245013345123
6,0.6182084919015198,0.7640653166701371,0.8207267422020129,0.7147222418098833,0.7640653166701371,0.6251532801961986,0.76934685215751,0.8077570556197392,0.7344237695078031,0.7693468521575099,0.6397310942520047,0.7802878124279645,0.8643393886335449,0.7111344537815126,0.7802878124279645
10,0.6413044435125935,0.7814570246822986,0.8358626379330221,0.7337010268688358,0.7814570246822985,0.6491024898668211,0.7872191011235955,0.8251352129804461,0.7526344980587909,0.7872191011235954,0.6442070878593835,0.7836082116615686,0.8520144008229041,0.7253699973727997,0.7836082116615685
11,0.6542098052982817,0.790963520108402,0.8443192878526359,0.743950443817667,0.790963520108402,0.6650696744873655,0.7988490628082867,0.8353564182799766,0.7653990358864489,0.7988490628082867,0.6680259394557245,0.8009778788856255,0.8684288028272714,0.7432496297929991,0.8009778788856255
12,0.6124553764389883,0.7596555977772973,0.8498281224598491,0.6867832403496168,0.7596555977772973,0.6238310929281122,0.7683448058667387,0.8406182319354204,0.7075151213853674,0.7683448058667387,0.6134969325153374,0.7604562737642585,0.8725192204541391,0.6739028364680862,0.7604562737642585
13,0.6526954254341607,0.7898556689750605,0.8083678298814813,0.7721724073170028,0.7898556689750605,0.6595578818419734,0.794859750369078,0.7972941136876115,0.7924402073925405,0.794859750369078,0.6674629300550587,0.8005730358671536,0.8379169104739613,0.7664157885934103,0.8005730358671536
15,0.6593076783153016,0.7946780297969789,0.8595668121989047,0.738898509335152,0.7946780297969789,0.670504680942645,0.8027570213862406,0.8511713680759511,0.7595538489669044,0.8027570213862406,0.6655602577932676,0.7992028564311218,0.8781431334622823,0.7332845736575851,0.7992028564311218
17,0.6446191535510637,0.7839129833301542,0.8190296411122255,0.7516838394444249,0.7839129833301542,0.6544729643210523,0.7911558283935199,0.8090150370530254,0.7740680824699687,0.7911558283935199,0.6474303070399663,0.7859880982804571,0.8367600761786311,0.741025023233401,0.7859880982804571
19,0.6501899972402891,0.7880183473753211,0.7639213470688754,0.8136850862996156,0.7880183473753212,0.6544070837432722,0.7911076906931593,0.7502819985402428,0.8366320150937813,0.7911076906931593,0.6746759018051427,0.8057390699632158,0.7972620599739244,0.8143982834523326,0.8057390699632159
